Algorithm,Dataset Size,max_depth,Accuracy,Precision,Recall,F1 Score,CV F1 Mean,CV F1 Std,Time (s),C,n_neighbors,hidden_layer_sizes
Decision Tree,100,2.0,0.7,0.8333,0.7143,0.7692,0.8064,0.0657,0.05,,,
Decision Tree,500,2.0,0.79,0.8167,0.8305,0.8235,0.8044,0.0294,0.06,,,
Decision Tree,1000,2.0,0.775,0.8017,0.822,0.8117,0.8285,0.0411,0.06,,,
Decision Tree,5000,2.0,0.805,0.7833,0.9353,0.8526,0.8439,0.0112,0.07,,,
Decision Tree,10000,2.0,0.793,0.7748,0.9253,0.8434,0.8426,0.0084,0.1,,,
Decision Tree,50000,2.0,0.7978,0.775,0.9345,0.8473,0.8445,0.0026,0.34,,,
Decision Tree,100000,2.0,0.7954,0.7725,0.9341,0.8456,0.8445,0.0014,0.68,,,
Decision Tree,100,3.0,0.65,0.7692,0.7143,0.7407,0.8159,0.0765,0.05,,,
Decision Tree,500,3.0,0.8,0.8197,0.8475,0.8333,0.8254,0.023,0.05,,,
Decision Tree,1000,3.0,0.845,0.8321,0.9237,0.8755,0.8795,0.0104,0.06,,,
Decision Tree,5000,3.0,0.826,0.8936,0.8076,0.8484,0.8532,0.0239,0.08,,,
Decision Tree,10000,3.0,0.8325,0.8789,0.8373,0.8576,0.8586,0.0087,0.12,,,
Decision Tree,50000,3.0,0.8309,0.8895,0.8203,0.8535,0.8503,0.003d,0.41,,,
Decision Tree,100000,3.0,0.8324,0.8754,0.8401,0.8574,0.857,0.002,0.82,,,
Decision Tree,100,4.0,0.65,0.7692,0.7143,0.7407,0.7956,0.0714,0.05,,,
Decision Tree,500,4.0,0.8,0.8421,0.8136,0.8276,0.8238,0.0204,0.05,,,
Decision Tree,1000,4.0,0.86,0.8629,0.9068,0.8843,0.8761,0.0168,0.06,,,
Decision Tree,5000,4.0,0.847,0.8419,0.9187,0.8787,0.8781,0.0105,0.09,,,
Decision Tree,10000,4.0,0.8435,0.8241,0.9411,0.8787,0.8727,0.0071,0.13,,,
Decision Tree,50000,4.0,0.8455,0.8371,0.922,0.8775,0.878,0.0045,0.53,,,
Decision Tree,100000,4.0,0.8465,0.8325,0.9315,0.8792,0.8786,0.002,1.0,,,
Decision Tree,100,5.0,0.7,0.8333,0.7143,0.7692,0.8172,0.0787,0.06,,,
Decision Tree,500,5.0,0.83,0.85,0.8644,0.8571,0.8197,0.033,0.05,,,
Decision Tree,1000,5.0,0.86,0.8629,0.9068,0.8843,0.874,0.0257,0.06,,,
Decision Tree,5000,5.0,0.861,0.8959,0.8706,0.8831,0.8792,0.0164,0.11,,,
Decision Tree,10000,5.0,0.859,0.8908,0.873,0.8818,0.8754,0.0099,0.15,,,
Decision Tree,50000,5.0,0.86,0.898,0.8651,0.8812,0.8809,0.0035,0.59,,,
Decision Tree,100000,5.0,0.8613,0.9057,0.8582,0.8813,0.8807,0.0024,1.22,,,
Decision Tree,100,6.0,0.7,0.8333,0.7143,0.7692,0.8172,0.0787,0.05,,,
Decision Tree,500,6.0,0.75,0.7833,0.7966,0.7899,0.8152,0.0345,0.05,,,
Decision Tree,1000,6.0,0.84,0.8468,0.8898,0.8678,0.859,0.0346,0.06,,,
Decision Tree,5000,6.0,0.866,0.8728,0.9104,0.8912,0.875,0.018,0.11,,,
