recency_days,frequency,monetary,avg_order_value,num_returns,email_open_rate,days_since_signup,churned
33,37,4694.98,126.89,7,0.07,734,0
282,44,4738.64,107.7,4,0.97,1711,1
239,29,2684.67,92.57,9,0.72,595,1
160,21,1261.82,60.09,3,0.83,358,1
158,1,3699.22,3699.22,4,0.49,1466,1
313,31,3311.25,106.81,8,0.94,516,1
32,45,4377.87,97.29,5,0.85,1764,0
254,7,4261.92,608.85,5,0.34,921,1
74,12,1398.98,116.58,9,0.25,1346,1
35,26,2924.15,112.47,7,0.04,1766,0
192,27,2199.71,81.47,0,0.87,846,0
356,21,4647.04,221.29,3,0.23,984,1
268,8,2050.44,256.3,8,0.29,1425,1
278,24,326.46,13.6,2,0.31,1021,1
262,25,2453.98,98.16,5,0.89,1818,1
287,10,1159.54,115.95,7,0.77,343,1
187,30,63.34,2.11,4,0.75,1824,0
47,43,4561.23,106.08,4,0.19,216,0
306,5,3366.76,673.35,1,0.3,1673,1
164,4,594.61,148.65,6,0.6,1240,1
183,28,1903.66,67.99,4,0.24,1474,1
135,39,1400.53,35.91,6,0.87,679,0
67,6,4083.29,680.55,7,0.0,1411,1
338,47,3486.52,74.18,0,0.08,924,1
285,24,558.18,23.26,5,0.32,1520,1
235,6,43.07,7.18,5,0.88,142,1
147,22,4101.06,186.41,6,0.83,1128,1
300,22,4666.75,212.12,8,0.83,454,1
199,20,4809.63,240.48,6,0.05,1671,1
162,29,603.67,20.82,6,0.88,82,0
164,13,1961.52,150.89,5,0.25,999,1
83,49,620.38,12.66,4,0.01,369,0
34,15,4672.37,311.49,4,0.71,611,0
202,43,2266.62,52.71,8,0.66,633,1
324,41,4550.34,110.98,5,1.0,804,0
24,21,2275.94,108.38,5,0.1,617,0
313,10,463.07,46.31,4,0.47,1155,1
302,48,1793.17,37.36,3,0.87,476,0
101,29,4857.42,167.5,8,0.04,402,1
230,17,4383.8,257.87,1,0.02,1256,1
61,8,2574.03,321.75,5,0.27,553,0
276,17,1650.87,97.11,3,0.91,1774,1
255,32,828.46,25.89,7,0.5,1796,1
130,25,697.97,27.92,3,0.39,1013,1
25,4,787.06,196.76,4,0.91,66,0
354,39,2664.91,68.33,3,0.6,726,1
163,16,3501.01,218.81,9,0.96,1102,0
326,10,1489.06,148.91,2,0.56,1639,1
247,35,4921.35,140.61,8,0.23,825,1
284,37,2339.34,63.23,7,0.03,1032,1
